X: 888-975
Predict()
Q[i,i] =10 MX = 3,453125 SDX = 2,42982565925521 Max=10
Q[i,i] =11 MX = 3,4375 SDX = 2,45506491767529 Max=10
Q[i,i] =12 MX = 3,4375 SDX = 2,45506491767529 Max=10
Q[i,i] =13 MX = 3,4375 SDX = 2,44230296032249 Max=10
Q[i,i] =14 MX = 3,40625 SDX = 2,46042901492809 Max=10
Q[i,i] =15 MX = 3,375 SDX = 2,4141509894785 Max=10
Q[i,i] =16 MX = 3,359375 SDX = 2,37412607276341 Max=10
Q[i,i] =17 MX = 3,34375 SDX = 2,35994405389196 Max=10
Q[i,i] =18 MX = 3,375 SDX = 2,40767003553228 Max=10
Q[i,i] =19 MX = 3,390625 SDX = 2,38888825803448 Max=10
Q[i,i] =20 MX = 3,390625 SDX = 2,38888825803448 Max=10
Q[i,i] =21 MX = 3,390625 SDX = 2,38888825803448 Max=10
Q[i,i] =22 MX = 3,40625 SDX = 2,38955245548199 Max=10
Q[i,i] =23 MX = 3,421875 SDX = 2,39011432454077 Max=10
Q[i,i] =24 MX = 3,4375 SDX = 2,41010243558236 Max=10
Q[i,i] =25 MX = 3,4375 SDX = 2,41010243558236 Max=10
Q[i,i] =26 MX = 3,4375 SDX = 2,41010243558236 Max=10
Q[i,i] =27 MX = 3,40625 SDX = 2,38955245548199 Max=10
Q[i,i] =28 MX = 3,40625 SDX = 2,38955245548199 Max=10
Q[i,i] =29 MX = 3,390625 SDX = 2,35595779023628 Max=10
Q[i,i] =30 MX = 3,390625 SDX = 2,35595779023628 Max=10
Q[i,i] =31 MX = 3,375 SDX = 2,375 Max=10
Q[i,i] =32 MX = 3,359375 SDX = 2,3675355560952 Max=10
Q[i,i] =33 MX = 3,375 SDX = 2,375 Max=10
Q[i,i] =34 MX = 3,390625 SDX = 2,36918490400707 Max=10
Q[i,i] =35 MX = 3,40625 SDX = 2,37643870897189 Max=10
Q[i,i] =36 MX = 3,421875 SDX = 2,36382031558556 Max=10
Q[i,i] =37 MX = 3,40625 SDX = 2,36325219506933 Max=10
Q[i,i] =38 MX = 3,40625 SDX = 2,37643870897189 Max=10
Q[i,i] =39 MX = 3,421875 SDX = 2,40964654760299 Max=10
Q[i,i] =40 MX = 3,421875 SDX = 2,40964654760299 Max=10
Q[i,i] =41 MX = 3,421875 SDX = 2,40964654760299 Max=10
Q[i,i] =42 MX = 3,421875 SDX = 2,40964654760299 Max=10
Q[i,i] =43 MX = 3,390625 SDX = 2,39542002775609 Max=10
Q[i,i] =44 MX = 3,390625 SDX = 2,39542002775609 Max=10
Q[i,i] =45 MX = 3,40625 SDX = 2,43489444073044 Max=10
Q[i,i] =46 MX = 3,390625 SDX = 2,44065300880215 Max=10
Q[i,i] =47 MX = 3,390625 SDX = 2,44065300880215 Max=10
Q[i,i] =48 MX = 3,375 SDX = 2,42061459137964 Max=10
Q[i,i] =49 MX = 3,359375 SDX = 2,43905198988767 Max=10
Q[i,i] =50 MX = 3,359375 SDX = 2,43905198988767 Max=10
Q[i,i] =51 MX = 3,34375 SDX = 2,43168376593257 Max=10
Q[i,i] =52 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =53 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =54 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =55 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =56 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =57 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =58 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =59 MX = 3,34375 SDX = 2,43168376593257 Max=10
Q[i,i] =60 MX = 3,328125 SDX = 2,42419243963325 Max=10
Q[i,i] =61 MX = 3,328125 SDX = 2,43704923716674 Max=10
Q[i,i] =62 MX = 3,34375 SDX = 2,46360222793778 Max=10
Q[i,i] =63 MX = 3,359375 SDX = 2,47087527191783 Max=10
Q[i,i] =64 MX = 3,34375 SDX = 2,46360222793778 Max=10
Q[i,i] =65 MX = 3,34375 SDX = 2,46360222793778 Max=10
Q[i,i] =66 MX = 3,34375 SDX = 2,46360222793778 Max=10
Q[i,i] =67 MX = 3,34375 SDX = 2,46360222793778 Max=10
Q[i,i] =68 MX = 3,34375 SDX = 2,46360222793778 Max=10
Q[i,i] =69 MX = 3,34375 SDX = 2,46360222793778 Max=10
Q[i,i] =70 MX = 3,375 SDX = 2,47802845019988 Max=10
Q[i,i] =71 MX = 3,390625 SDX = 2,48506279787353 Max=10
Q[i,i] =72 MX = 3,390625 SDX = 2,48506279787353 Max=10
Q[i,i] =73 MX = 3,390625 SDX = 2,48506279787353 Max=10
Q[i,i] =74 MX = 3,390625 SDX = 2,48506279787353 Max=10
Q[i,i] =75 MX = 3,390625 SDX = 2,48506279787353 Max=10
Q[i,i] =76 MX = 3,390625 SDX = 2,48506279787353 Max=10
Q[i,i] =77 MX = 3,40625 SDX = 2,49197932124245 Max=10
Q[i,i] =78 MX = 3,40625 SDX = 2,49197932124245 Max=10
Q[i,i] =79 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =80 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =81 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =82 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =83 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =84 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =85 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =86 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =87 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =88 MX = 3,421875 SDX = 2,49877899870617 Max=10
Q[i,i] =89 MX = 3,40625 SDX = 2,48570129691803 Max=10
Q[i,i] =90 MX = 3,40625 SDX = 2,48570129691803 Max=10
Q[i,i] =91 MX = 3,40625 SDX = 2,48570129691803 Max=10
Q[i,i] =92 MX = 3,40625 SDX = 2,48570129691803 Max=10
Q[i,i] =93 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =94 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =95 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =96 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =97 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =98 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =99 MX = 3,390625 SDX = 2,46612795884054 Max=10
X: 888-975
Predict()
Q[i,i] =100 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =101 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =102 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =103 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =104 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =105 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =106 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =107 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =108 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =109 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =110 MX = 3,390625 SDX = 2,46612795884054 Max=10
Q[i,i] =111 MX = 3,40625 SDX = 2,45407027965786 Max=10
Q[i,i] =112 MX = 3,40625 SDX = 2,45407027965786 Max=10
