Records 258-278
Et= 3D E1=Marked E2= Source dl=E1-E2
Et	E1	E2	dl
X
816	822(6)	816(0)	6
816	828(12)	828(12)	0
816	833(17)	832(16)	1
819	852(33)	852(33)	0
825	856(31)	848(23)	8
842	874(32)	870(28)	4
862	876(14)	881(19)	-5
883	895(12)	892(9)	3
896	892(4)	893(3)	1
912	919(7)	908(4)	3
923	917(6)	914(9)	-3
946	945(1)	947(1)	0
955	947(8)	946(9)	-1
957	977(20)	944(13)	7
973	986(13)	972(1)	12
985	1011(26)	984(1)	25
998	1019(21)	998(0)	21
1013	1048(35)	1014(1)	34
1042	1064(22)	1054(12)	10
1060	1094(0)	-1(0)	0
1080	1108(0)	-1(0)	0
M1X = 16,8421052631579 SD1X = 10,3987001105388 M2X = 10,2105263157895 SD2X = 9,64408161772325
Y
254	255(1)	254(0)	1
253	240(13)	238(15)	-2
253	232(21)	226(27)	-6
250	219(31)	220(30)	1
240	210(30)	204(36)	-6
222	196(26)	192(30)	-4
202	191(11)	187(15)	-4
187	189(2)	186(1)	1
177	183(6)	185(8)	-2
172	186(14)	184(12)	2
166	175(9)	176(10)	-1
158	169(11)	165(7)	4
155	146(9)	164(9)	0
144	134(10)	144(0)	10
132	116(16)	130(2)	14
121	103(18)	120(1)	17
104	84(20)	100(4)	16
84	70(14)	78(6)	8
58	53(5)	50(8)	-3
38	35(0)	-1(0)	0
16	18(0)	-1(0)	0
M1Y = 14,0526315789474 SD1Y = 8,38842362840177 M2Y = 11,6315789473684 SD2Y = 10,9169618210225
