Records 258-278
Et= Marked E1=Marked E2= Marked dl=E1-E2
Et	E1	E2	dl
X
822	822(0)	822(0)	0
828	828(0)	828(0)	0
833	833(0)	833(0)	0
852	852(0)	852(0)	0
856	856(0)	856(0)	0
874	874(0)	874(0)	0
876	876(0)	876(0)	0
895	895(0)	895(0)	0
892	892(0)	892(0)	0
919	919(0)	919(0)	0
917	917(0)	917(0)	0
945	945(0)	945(0)	0
947	947(0)	947(0)	0
977	977(0)	977(0)	0
986	986(0)	986(0)	0
1011	1011(0)	1011(0)	0
1019	1019(0)	1019(0)	0
1048	1048(0)	1048(0)	0
1064	1064(0)	1064(0)	0
1094	1094(0)	1094(0)	0
1108	1108(0)	1108(0)	0
M1X = 0 SD1X = 0 M2X = 0 SD2X = 0
Y
255	255(0)	255(0)	0
240	240(0)	240(0)	0
232	232(0)	232(0)	0
219	219(0)	219(0)	0
210	210(0)	210(0)	0
196	196(0)	196(0)	0
191	191(0)	191(0)	0
189	189(0)	189(0)	0
183	183(0)	183(0)	0
186	186(0)	186(0)	0
175	175(0)	175(0)	0
169	169(0)	169(0)	0
146	146(0)	146(0)	0
134	134(0)	134(0)	0
116	116(0)	116(0)	0
103	103(0)	103(0)	0
84	84(0)	84(0)	0
70	70(0)	70(0)	0
53	53(0)	53(0)	0
35	35(0)	35(0)	0
18	18(0)	18(0)	0
M1Y = 0 SD1Y = 0 M2Y = 0 SD2Y = 0
