Records 1075-1099
Et= Marked E1=3D E2= Predict dl=E1-E2
Et	E1	E2	dl
X
837	837(0)	837(0)	0
846	837(0)	818(0)	0
854	837(0)	544(0)	0
857	854(3)	741(116)	-113
871	872(1)	845(26)	-25
879	891(0)	918(0)	0
889	894(5)	905(16)	-11
898	899(1)	900(2)	-1
913	904(0)	889(0)	0
922	909(0)	872(0)	0
936	913(0)	849(0)	0
947	917(0)	823(0)	0
962	953(9)	933(29)	-20
975	977(2)	983(8)	-6
991	991(0)	1001(10)	-10
1007	1006(1)	1011(4)	-3
1022	1022(0)	1022(0)	0
1048	1045(3)	1044(4)	-1
1060	1058(2)	1057(3)	-1
1085	1081(4)	1080(5)	-1
1098	1101(3)	1101(3)	0
1123	1117(6)	1117(6)	0
1153	1148(5)	1148(5)	0
1176	1177(1)	1177(1)	0
1209	1207(2)	1207(2)	0
M1X = 2,66666666666667 SD1X = 2,33333333333333 M2X = 13,3333333333333 SD2X = 26,1809939544786
Y
354	353(1)	353(1)	0
356	353(0)	345(0)	0
355	353(0)	229(0)	0
356	356(0)	308(48)	-48
354	354(0)	342(12)	-12
354	351(0)	362(0)	0
350	348(2)	353(3)	-1
346	343(3)	343(3)	0
340	338(0)	331(0)	0
334	332(0)	317(0)	0
326	325(0)	300(0)	0
317	319(0)	282(0)	0
307	310(3)	302(5)	-2
305	303(2)	305(0)	2
292	292(0)	296(4)	-4
286	280(6)	282(4)	2
280	276(4)	276(4)	0
273	270(3)	270(3)	0
269	269(0)	268(1)	-1
264	265(1)	265(1)	0
255	257(2)	257(2)	0
254	251(3)	251(3)	0
240	239(1)	239(1)	0
228	223(5)	223(5)	0
212	206(6)	206(6)	0
M1Y = 2,33333333333333 SD1Y = 1,91485421551268 M2Y = 5,88888888888889 SD2Y = 10,5456093490708
