Записи888-975
Et	E-1	E-2	dl
X
662	0	0	0
664	3	3	0
663	0	0	0
663	1	1	0
673	5	5	0
667	3	3	0
674	4	4	0
670	4	4	0
679	1	2	1
673	1	1	0
686	4	4	0
678	1	1	0
690	4	4	0
683	0	0	0
696	8	7	1
692	4	4	0
699	2	2	0
700	5	5	0
706	5	5	0
704	3	3	0
710	3	3	0
714	1	1	0
717	1	1	0
720	0	0	0
723	2	2	0
731	5	5	0
731	0	0	0
735	4	4	0
738	2	2	0
745	2	2	0
744	5	5	0
753	2	2	0
755	1	1	0
762	0	0	0
768	3	3	0
770	0	0	0
776	5	5	0
781	7	7	0
783	4	4	0
789	6	6	0
791	1	1	0
801	3	3	0
805	4	4	0
810	4	4	0
817	3	3	0
822	5	5	0
827	4	4	0
836	2	2	0
841	2	2	0
848	3	3	0
853	3	3	0
860	1	1	0
868	7	7	0
879	10	10	0
885	6	6	0
891	4	4	0
895	4	4	0
906	10	9	1
914	12	12	0
921	14	13	1
927	15	14	1
936	6	5	1
947	3	2	1
959	5	5	0
964	1	1	0
976	1	0	1
987	2	0	2
1000	1	2	1
1008	6	2	4
1017	5	7	2
1031	10	10	0
1034	5	5	0
1053	18	17	1
1059	10	9	1
1067	6	5	1
1084	11	10	1
1098	3	3	0
1110	5	5	0
1119	18	17	1
1136	24	22	2
1151	34	31	3
1162	50	44	6
1182	58	50	8
1197	72	61	11
1217	83	69	14
1226	105	88	17
1245	119	98	21
1254	143	118	25
Y
403	3	3	0
402	3	3	0
397	0	0	0
394	1	1	0
391	1	1	0
392	7	7	0
383	1	1	0
383	6	6	0
381	3	3	0
381	3	2	1
375	2	3	1
380	2	2	0
374	0	0	0
374	3	3	0
371	3	3	0
371	4	4	0
367	0	0	0
366	4	4	0
360	0	0	0
361	1	1	0
361	0	0	0
360	2	2	0
356	3	3	0
355	5	5	0
349	5	5	0
349	6	6	0
346	7	7	0
338	6	6	0
336	2	2	0
335	0	0	0
336	1	1	0
334	4	4	0
326	3	3	0
328	2	2	0
328	4	4	0
322	0	0	0
320	6	6	0
321	2	2	0
319	10	10	0
315	2	2	0
310	0	0	0
306	0	0	0
302	3	3	0
302	10	10	0
291	1	1	0
294	9	9	0
282	7	7	0
286	2	2	0
285	5	5	0
275	4	4	0
278	5	5	0
268	5	5	0
270	6	6	0
262	4	4	0
262	4	4	0
251	6	6	0
247	7	7	0
236	4	4	0
237	12	12	0
230	14	14	0
224	16	16	0
223	8	7	1
219	2	0	2
213	7	8	1
207	9	10	1
198	8	9	1
194	12	14	2
194	21	24	3
173	10	14	4
176	19	20	1
162	11	11	0
162	17	17	0
156	17	16	1
147	15	15	0
141	15	15	0
138	19	19	0
126	5	5	0
120	1	2	1
110	12	13	1
104	20	20	0
90	37	37	0
88	43	42	1
74	61	61	0
65	76	74	2
56	91	89	2
49	105	102	3
35	127	122	5
20	150	144	6
