Записи888-975
Et	E-1	E-2	dl
662	0	0	0
664	3	3	0
663	0	0	0
663	1	1	0
673	5	5	0
667	3	3	0
674	4	4	0
670	4	4	0
679	1	2	1
673	1	1	0
686	4	4	0
678	1	1	0
690	4	4	0
683	0	0	0
696	8	7	1
692	4	4	0
699	2	2	0
700	5	5	0
706	5	5	0
704	3	3	0
710	3	3	0
714	1	1	0
717	1	1	0
720	0	0	0
723	2	2	0
731	5	5	0
731	0	0	0
735	4	4	0
738	2	2	0
745	2	2	0
744	5	5	0
753	2	2	0
755	1	1	0
762	0	0	0
768	3	3	0
770	0	0	0
776	5	5	0
781	7	7	0
783	4	4	0
789	6	6	0
791	1	1	0
801	3	3	0
805	4	4	0
810	4	4	0
817	3	3	0
822	5	5	0
827	4	4	0
836	2	2	0
841	2	2	0
848	3	3	0
853	3	3	0
860	1	1	0
868	7	7	0
879	10	10	0
885	6	6	0
891	4	4	0
895	4	4	0
906	10	9	1
914	12	12	0
921	14	13	1
927	15	14	1
936	6	5	1
947	3	2	1
959	5	5	0
964	1	1	0
976	1	0	1
987	2	0	2
1000	1	2	1
1008	6	2	4
1017	5	7	2
1031	10	10	0
1034	5	5	0
1053	18	17	1
1059	10	9	1
1067	6	5	1
1084	11	10	1
1098	3	3	0
1110	5	5	0
1119	18	17	1
1136	24	22	2
1151	34	31	3
1162	50	44	6
1182	58	50	8
1197	72	61	11
1217	83	69	14
1226	105	88	17
1245	119	98	21
1254	143	118	25
